symbol,valid_from,valid_to
AEFES.E,2026-04-01,2026-06-30
AKBNK.E,2026-04-01,2026-06-30
AKSEN.E,2026-04-01,2026-06-30
ALARK.E,2026-04-01,2026-06-30
ARCLK.E,2026-04-01,2026-06-30
ASELS.E,2026-04-01,2026-06-30
ASTOR.E,2026-04-01,2026-06-30
BIMAS.E,2026-04-01,2026-06-30
BRSAN.E,2026-04-01,2026-06-30
BTCIM.E,2026-04-01,2026-06-30
CANTE.E,2026-04-01,2026-06-30
CCOLA.E,2026-04-01,2026-06-30
CIMSA.E,2026-04-01,2026-06-30
DOAS.E,2026-04-01,2026-06-30
DSTKF.E,2026-04-01,2026-06-30
EKGYO.E,2026-04-01,2026-06-30
ENKAI.E,2026-04-01,2026-06-30
EREGL.E,2026-04-01,2026-06-30
FROTO.E,2026-04-01,2026-06-30
GARAN.E,2026-04-01,2026-06-30
GUBRF.E,2026-04-01,2026-06-30
HALKB.E,2026-04-01,2026-06-30
HEKTS.E,2026-04-01,2026-06-30
ISCTR.E,2026-04-01,2026-06-30
KCHOL.E,2026-04-01,2026-06-30
KRDMD.E,2026-04-01,2026-06-30
KUYAS.E,2026-04-01,2026-06-30
MAVI.E,2026-04-01,2026-06-30
MGROS.E,2026-04-01,2026-06-30
MIATK.E,2026-04-01,2026-06-30
OYAKC.E,2026-04-01,2026-06-30
PASEU.E,2026-04-01,2026-06-30
PETKM.E,2026-04-01,2026-06-30
PGSUS.E,2026-04-01,2026-06-30
SAHOL.E,2026-04-01,2026-06-30
SASA.E,2026-04-01,2026-06-30
SISE.E,2026-04-01,2026-06-30
TAVHL.E,2026-04-01,2026-06-30
TCELL.E,2026-04-01,2026-06-30
THYAO.E,2026-04-01,2026-06-30
TOASO.E,2026-04-01,2026-06-30
TRALT.E,2026-04-01,2026-06-30
TRMET.E,2026-04-01,2026-06-30
TSKB.E,2026-04-01,2026-06-30
TTKOM.E,2026-04-01,2026-06-30
TUPRS.E,2026-04-01,2026-06-30
TURSG.E,2026-04-01,2026-06-30
ULKER.E,2026-04-01,2026-06-30
VAKBN.E,2026-04-01,2026-06-30
YKBNK.E,2026-04-01,2026-06-30
